,title,track,categories,url
0,Early Discovery of Emerging Entities in Microblogs,Main,"['Information Extraction', 'Natural Language Processing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/678
1,Neural Program Induction for KBQA Without Gold Programs or Query Annotations,Main,['Question Answering'],https://www.ijcai.org/proceedings/2019/679
2,Medical Concept Representation Learning from Multi-source Data,Main,"['Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/680
3,Multi-Domain Sentiment Classification Based on Domain-Aware Embedding and Attention,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/681
4,A Latent Variable Model for Learning Distributional Relation Vectors,Main,"['Natural Language Semantics', 'Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/682
5,Generating Multiple Diverse Responses with Multi-Mapping and Posterior Mapping Selection,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/683
6,Sentiment-Controllable Chinese Poetry Generation,Main,"['Natural Language Generation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/684
7,From Words to Sentences: A Progressive Learning Approach for Zero-resource Machine Translation with Visual Pivots,Main,['Machine Translation'],https://www.ijcai.org/proceedings/2019/685
8,Learning towards Abstractive Timeline Summarization,Main,"['Natural Language Generation', 'Natural Language Summarization']",https://www.ijcai.org/proceedings/2019/686
9,Coreference Aware Representation Learning for Neural Named Entity Recognition,Main,"['Information Extraction', 'Natural Language Processing', 'Tagging, chunking, and parsing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/687
10,Learning  Assistance from an Adversarial Critic for Multi-Outputs Prediction,Main,['NLP Applications and Tools'],https://www.ijcai.org/proceedings/2019/688
11,End-to-End Multi-Perspective Matching for Entity Resolution,Main,"['Information Extraction', 'Coreference Resolution']",https://www.ijcai.org/proceedings/2019/689
12,Difficulty Controllable Generation of Reading Comprehension Questions,Main,"['Natural Language Generation', 'Question Answering', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/690
13,Modeling Source Syntax and Semantics for Neural AMR Parsing,Main,"['Natural Language Semantics', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/691
14,CNN-Based Chinese NER with Lexicon Rethinking,Main,"['Named Entities', 'Tagging, chunking, and parsing', 'Phonology, Morphology, and word segmentation']",https://www.ijcai.org/proceedings/2019/692
