,title,track,categories,url
15,Dual Visual Attention Network for Visual Dialog,Main,['Dialogue'],https://www.ijcai.org/proceedings/2019/693
16,AmazonQA: A Review-Based Question Answering Task,Main,"['Question Answering', 'Resources and Evaluation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/694
17,Answering Binary Causal Questions Through Large-Scale Text Mining: An Evaluation Using Cause-Effect Pairs from Human Experts,Main,"['NLP Applications and Tools', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/695
18,GSN: A Graph-Structured Network for Multi-Party Dialogues,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/696
19,Leap-LSTM: Enhancing Long Short-Term Memory for Text Categorization,Main,"['Natural Language Processing', 'Text Classification']",https://www.ijcai.org/proceedings/2019/697
20,Relation Extraction Using Supervision from Topic Knowledge of Relation Labels,Main,"['Information Extraction', 'Natural Language Processing', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/698
21,Representation Learning with Weighted Inner Product for Universal Approximation of General Similarities,Main,['Embeddings'],https://www.ijcai.org/proceedings/2019/699
22,Incorporating Structural Information for Better Coreference Resolution,Main,"['Discourse', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/700
23,Knowledge Base Question Answering with Topic Units,Main,"['Natural Language Processing', 'Question Answering']",https://www.ijcai.org/proceedings/2019/701
24,Adversarial Transfer for  Named Entity Boundary Detection with Pointer Networks,Main,"['Natural Language Processing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/702
25,Towards Discriminative Representation Learning for Speech Emotion Recognition,Main,"['Speech', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/703
26,Self-attentive Biaffine Dependency Parsing,Main,"['Natural Language Processing', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/704
27,Reading selectively via Binary Input Gated Recurrent Unit,Main,['Text Classification'],https://www.ijcai.org/proceedings/2019/705
28,Learning to Select Knowledge for Response Generation in Dialog Systems,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/706
29,Deep Mask Memory Network with Semantic Dependency and Context Moment for Aspect Level Sentiment Classification,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/707
30,Exploring and Distilling Cross-Modal Information for Image Captioning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/708
31,Network Embedding with Dual Generation Tasks,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/709
32,Building Personalized Simulator for Interactive Search,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/710
33,A Dual Reinforcement Learning Framework for Unsupervised Text Style Transfer,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/711
34,Unsupervised Neural Aspect Extraction with Sememes,Main,"['Sentiment Analysis and Text Mining', 'Natural Language Semantics', 'Information Extraction']",https://www.ijcai.org/proceedings/2019/712
35,Randomized Greedy Search for Structured Prediction: Amortized Inference and Learning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/713
36,Aspect-Based Sentiment Classification with Attentive Neural Turing Machines,Main,"['Natural Language Semantics', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/714
37,Learning Task-Specific Representation for Novel Words in Sequence Labeling,Main,"['Tagging, chunking, and parsing', 'Named Entities', 'Embeddings']",https://www.ijcai.org/proceedings/2019/715
38,Improving Cross-Domain Performance for Relation Extraction via Dependency Prediction and Information Flow Control,Main,['Information Extraction'],https://www.ijcai.org/proceedings/2019/716
39,Learn to Select via Hierarchical Gate Mechanism for Aspect-Based Sentiment Analysis,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/717
40,Aligning Learning Outcomes to Learning Resources: A Lexico-Semantic Spatial Approach,Main,"['NLP Applications and Tools', 'Text Classification']",https://www.ijcai.org/proceedings/2019/718
41,A Deep Generative Model for Code Switched Text,Main,"['Natural Language Generation', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/719
42,Knowledge Aware Semantic Concept Expansion for Image-Text Matching,Main,['Information Retrieval'],https://www.ijcai.org/proceedings/2019/720
43,Exploiting Persona Information for Diverse Generation of Conversational Responses,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/721
44,Cold-Start Aware Deep Memory Network for Multi-Entity Aspect-Based Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/722
45,GANs for Semi-Supervised Opinion Spam Detection,Main,['Text Classification'],https://www.ijcai.org/proceedings/2019/723
46,PRoFET: Predicting the Risk of Firms from Event Transcripts,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/724
47,Unsupervised Embedding Enhancements of Knowledge Graphs using Textual Associations,Main,"['Knowledge Extraction', 'Embeddings']",https://www.ijcai.org/proceedings/2019/725
48,Swell-and-Shrink: Decomposing Image Captioning by Transformation and Summarization,Main,['Natural Language Summarization'],https://www.ijcai.org/proceedings/2019/726
49,T-CVAE: Transformer-Based Conditioned Variational Autoencoder for Story Completion,Main,"['Natural Language Generation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/727
50,Robust Embedding with Multi-Level Structures for Link Prediction,Main,"['Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/728
51,Revealing Semantic Structures of Texts: Multi-grained Framework for Automatic Mind-map Generation,Main,"['Information Retrieval', 'Natural Language Summarization', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/729
52,Correct-and-Memorize: Learning to Translate from Interactive Revisions,Main,"['Machine Translation', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/730
53,Modeling Noisy Hierarchical Types in Fine-Grained Entity Typing: A Content-Based Weighting Approach,Main,"['Information Extraction', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/731
54,Mask and Infill: Applying Masked Language Model for Sentiment Transfer,Main,"['Natural Language Generation', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/732
55,Relation-Aware Entity Alignment for Heterogeneous Knowledge Graphs,Main,"['Natural Language Processing', 'NLP Applications and Tools', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/733
56,RTHN: A RNN-Transformer Hierarchical Network for Emotion Cause Extraction,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/734
57,Sharing Attention Weights for Fast Transformer,Main,"['Machine Translation', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/735
58,A Goal-Driven Tree-Structured Neural Model for Math Word Problems,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/736
59,Dual-View Variational Autoencoders for Semi-Supervised Text Matching,Main,['Natural Language Semantics'],https://www.ijcai.org/proceedings/2019/737
60,Earlier Attention? Aspect-Aware LSTM for Aspect-Based Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/738
61,Polygon-Net: A General Framework for Jointly Boosting Multiple Unsupervised Neural Machine Translation Models,Main,"['Machine Translation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/739
62,Neural Collective Entity Linking Based on Recurrent Random Walk Network Learning,Main,"['Information Extraction', 'Natural Language Processing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/740
63,Robust Audio Adversarial Example for a Physical Attack,Main,['Speech'],https://www.ijcai.org/proceedings/2019/741
64,HorNet: A Hierarchical Offshoot Recurrent Network for Improving Person Re-ID via Image Captioning,Main,"['Natural Language Generation', 'Embeddings']",https://www.ijcai.org/proceedings/2019/742
65,Knowledge-enhanced Hierarchical Attention for Community Question Answering with Multi-task and Adaptive Learning,Main,"['Natural Language Processing', 'Question Answering']",https://www.ijcai.org/proceedings/2019/743
66,Knowledgeable Storyteller: A Commonsense-Driven Generative Model for Visual Storytelling,Main,"['Natural Language Generation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/744
67,Triplet Enhanced AutoEncoder: Model-free Discriminative Network Embedding,Main,['Embeddings'],https://www.ijcai.org/proceedings/2019/745
68,Improving Multilingual Sentence Embedding using Bi-directional Dual Encoder with Additive Margin Softmax,Main,"['Information Retrieval', 'Machine Translation', 'Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/746
69,Utilizing Non-Parallel Text for Style Transfer by Making Partial Comparisons,Main,"['Natural Language Generation', 'Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/747
70,Graph-based Neural Sentence Ordering,Main,"['Discourse', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/748
71,Refining Word Representations by Manifold Learning,Main,"['Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/749
72,Beyond Word Attention: Using Segment Attention in Neural Relation Extraction,Main,"['Information Extraction', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/750
73,Adapting BERT for Target-Oriented Multimodal Sentiment Classification,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/751
74,Modeling both Context- and Speaker-Sensitive Dependence for Emotion Detection in Multi-speaker Conversations,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/752
75,Extracting Entities and Events as a Single Task Using a Transition-Based Neural Model,Main,"['Information Extraction', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/753
76,Multi-view Knowledge Graph Embedding for Entity Alignment,Main,"['Embeddings', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2019/754
77,Quantum-Inspired Interactive Networks for Conversational Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification', 'Dialogue']",https://www.ijcai.org/proceedings/2019/755
78,A Document-grounded Matching Network for Response Selection in Retrieval-based Chatbots,Main,"['Dialogue', 'Information Retrieval']",https://www.ijcai.org/proceedings/2019/756
79,Recurrent Neural Network for Text Classification with Hierarchical Multiscale Dense Connections,Main,"['Natural Language Processing', 'Text Classification']",https://www.ijcai.org/proceedings/2019/757
80,RLTM: An Efficient Neural IR Framework for Long Documents,Main,['Information Retrieval'],https://www.ijcai.org/proceedings/2019/758
81,Dynamically Route Hierarchical Structure Representation to Attentive Capsule for Text Classification,Main,"['Text Classification', 'Sentiment Analysis and Text Mining', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/759
82,Sequence Generation: From Both Sides to the Middle,Main,"['Natural Language Generation', 'Machine Translation', 'Natural Language Summarization']",https://www.ijcai.org/proceedings/2019/760
83,Getting in Shape: Word Embedding SubSpaces,Main,"['Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/761
84,A Span-based Joint Model for Opinion Target Extraction and Target Sentiment Classification,Main,['Sentiment Analysis and Text Mining'],https://www.ijcai.org/proceedings/2019/762
