,title,track,categories,url
0,Aspect-based Sentiment Analysis with Opinion Tree Generation,Main,"['Sentiment Analysis and Text Mining', 'Information Extraction']",https://www.ijcai.org/proceedings/2022/561
1,Speaker-Guided Encoder-Decoder Framework for Emotion Recognition in Conversation,Main,"['Sentiment Analysis and Text Mining', 'Text Classification', 'Applications']",https://www.ijcai.org/proceedings/2022/562
2,Learning Meta Word Embeddings by Unsupervised Weighted Concatenation of Source Embeddings,Main,"['Embeddings', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2022/563
3,PCVAE: Generating Prior Context for Dialogue Response Generation,Main,"['Language Generation', 'Dialogue and Interactive Systems']",https://www.ijcai.org/proceedings/2022/564
4,Towards Joint Intent Detection and Slot Filling via Higher-order Attention,Main,"['Applications', 'Dialogue and Interactive Systems', 'Interpretability and Analysis of Models for NLP']",https://www.ijcai.org/proceedings/2022/565
5,Effective Graph Context Representation for Document-level Machine Translation,Main,"['Machine Translation and Multilinguality', 'Language Generation']",https://www.ijcai.org/proceedings/2022/566
6,DictBERT: Dictionary Description Knowledge Enhanced Language Model Pre-training via Contrastive Learning,Main,"['Language Models', 'Applications', 'Natural Language Semantics', 'Question Answering', 'Text Classification']",https://www.ijcai.org/proceedings/2022/567
7,Interpretable AMR-Based Question Decomposition for Multi-hop Question Answering,Main,"['Question Answering', 'Interpretability and Analysis of Models for NLP', 'Language Generation']",https://www.ijcai.org/proceedings/2022/568
8,Interactive Information Extraction by Semantic Information Graph,Main,"['Applications', 'Information Extraction']",https://www.ijcai.org/proceedings/2022/569
9,Global Inference with Explicit Syntactic and Discourse Structures for Dialogue-Level Relation Extraction,Main,"['Information Extraction', 'Dialogue and Interactive Systems', 'Knowledge Extraction', 'Named Entities']",https://www.ijcai.org/proceedings/2022/570
10,Conversational Semantic Role Labeling with Predicate-Oriented Latent Graph,Main,"['Information Extraction', 'Dialogue and Interactive Systems', 'Tagging, Chunking, and Parsing']",https://www.ijcai.org/proceedings/2022/571
11,Inheriting the Wisdom of Predecessors: A Multiplex Cascade Framework for Unified Aspect-based Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Information Extraction', 'Text Classification']",https://www.ijcai.org/proceedings/2022/572
12,Logically Consistent Adversarial Attacks for Soft Theorem Provers,Main,"['Text Classification', 'Language Models', 'Question Answering']",https://www.ijcai.org/proceedings/2022/573
13,Leveraging the Wikipedia Graph for Evaluating Word Embeddings,Main,"['Embeddings', 'Resources and Evaluation']",https://www.ijcai.org/proceedings/2022/574
14,Fallacious Argument Classification in Political Debates,Main,"['Text Classification', 'Resources and Evaluation']",https://www.ijcai.org/proceedings/2022/575
15,Improving Few-Shot Text-to-SQL with Meta Self-Training via Column Specificity,Main,['Question Answering'],https://www.ijcai.org/proceedings/2022/576
16,FastDiff: A Fast Conditional Diffusion Model for High-Quality Speech Synthesis,Main,"['Speech', 'Language Generation']",https://www.ijcai.org/proceedings/2022/577
17,MuiDial: Improving Dialogue Disentanglement with Intent-Based Mutual Learning,Main,"['Dialogue and Interactive Systems', 'Applications', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2022/578
18,AdMix: A Mixed Sample Data Augmentation Method for Neural Machine Translation,Main,['Machine Translation and Multilinguality'],https://www.ijcai.org/proceedings/2022/579
19,Curriculum-Based Self-Training Makes Better Few-Shot Learners for Data-to-Text Generation,Main,"['Language Generation', 'Language Models']",https://www.ijcai.org/proceedings/2022/580
20,Deexaggeration,Main,"['Applications', 'Information Retrieval and Text Mining']",https://www.ijcai.org/proceedings/2022/581
21,"Taylor, Can You Hear Me Now? A Taylor-Unfolding Framework for Monaural Speech Enhancement",Main,['Speech'],https://www.ijcai.org/proceedings/2022/582
22,FastRE: Towards Fast Relation Extraction with Convolutional Encoder and Improved Cascade Binary Tagging Framework,Main,"['Knowledge Extraction', 'Information Extraction']",https://www.ijcai.org/proceedings/2022/583
23,Neutral Utterances are Also Causes: Enhancing Conversational Causal Emotion Entailment with Social Commonsense Knowledge,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2022/584
24,Domain-Adaptive Text Classification with Structured Knowledge from Unlabeled Data,Main,"['Sentiment Analysis and Text Mining', 'Knowledge Extraction', 'Natural Language Semantics', 'Text Classification']",https://www.ijcai.org/proceedings/2022/585
25,Parameter-Efficient Sparsity for Large Language Models Fine-Tuning,Main,['Language Models'],https://www.ijcai.org/proceedings/2022/586
26,Explicit Alignment Learning for Neural Machine Translation ,Main,"['Machine Translation and Multilinguality', 'Language Generation']",https://www.ijcai.org/proceedings/2022/587
27,Lyra: A Benchmark for Turducken-Style Code Generation,Main,"['Resources and Evaluation', 'Applications']",https://www.ijcai.org/proceedings/2022/588
28,CUP: Curriculum Learning based Prompt Tuning for Implicit Event Argument Extraction,Main,"['Information Extraction', 'Language Models']",https://www.ijcai.org/proceedings/2022/589
29,Low-Resource NER by Data Augmentation With Prompting,Main,"['Information Extraction', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2022/590
30,Generating a Structured Summary of Numerous Academic Papers: Dataset and Method,Main,"['Summarization', 'Language Generation', 'Resources and Evaluation']",https://www.ijcai.org/proceedings/2022/591
31,“My nose is running.” “Are you also coughing?”: Building A Medical Diagnosis Agent with Interpretable Inquiry Logics,Main,"['Dialogue and Interactive Systems', 'Applications']",https://www.ijcai.org/proceedings/2022/592
32,Abstract Rule Learning for Paraphrase Generation,Main,"['Language Generation', 'Summarization']",https://www.ijcai.org/proceedings/2022/593
33,Graph-based Dynamic Word Embeddings,Main,['Embeddings'],https://www.ijcai.org/proceedings/2022/594
34,Searching for Optimal Subword Tokenization in Cross-domain NER,Main,"['Information Extraction', 'Tagging, Chunking, and Parsing']",https://www.ijcai.org/proceedings/2022/595
35,Prompting to Distill: Boosting Data-Free Knowledge Distillation via Reinforced Prompt,Main,"['Other', 'Language Models', 'Text Classification']",https://www.ijcai.org/proceedings/2022/596
36,Variational Learning for Unsupervised Knowledge Grounded Dialogs,Main,"['Dialogue and Interactive Systems', 'Language Grounding']",https://www.ijcai.org/proceedings/2022/597
37,Enhancing Text Generation via Multi-Level Knowledge Aware Reasoning,Main,"['Applications', 'Language Generation']",https://www.ijcai.org/proceedings/2022/598
38,Automatic Noisy Label Correction for Fine-Grained Entity Typing,Main,"['Named Entities', 'Applications', 'Information Retrieval and Text Mining']",https://www.ijcai.org/proceedings/2022/599
39,"Control Globally, Understand Locally: A Global-to-Local Hierarchical Graph Network for Emotional Support Conversation",Main,"['Dialogue and Interactive Systems', 'Language Generation']",https://www.ijcai.org/proceedings/2022/600
40,Document-level Relation Extraction via Subgraph Reasoning,Main,['Information Extraction'],https://www.ijcai.org/proceedings/2022/601
41,Document-level Event Factuality Identification via Reinforced Multi-Granularity Hierarchical Attention Networks,Main,"['Information Extraction', 'Text Classification', 'Information Retrieval and Text Mining', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2022/602
42,BiFSMN: Binary Neural Network for Keyword Spotting,Main,['Speech'],https://www.ijcai.org/proceedings/2022/603
43,Training Naturalized Semantic Parsers with Very Little Data,Main,"['Dialogue and Interactive Systems', 'Tagging, Chunking, and Parsing', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2022/604
44,Relational Triple Extraction: One Step is Enough,Main,"['Information Extraction', 'Knowledge Extraction']",https://www.ijcai.org/proceedings/2022/605
45,A Unified Strategy for Multilingual Grammatical Error Correction with Pre-trained Cross-Lingual Language Model,Main,"['Applications', 'Language Generation']",https://www.ijcai.org/proceedings/2022/606
46,On Tracking Dialogue State by Inheriting Slot Values in Mentioned Slot Pools,Main,"['Dialogue and Interactive Systems', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2022/607
47,Towards Discourse-Aware Document-Level Neural Machine Translation,Main,"['Machine Translation and Multilinguality', 'Language Generation']",https://www.ijcai.org/proceedings/2022/608
48,Learning by Interpreting,Main,['Interpretability and Analysis of Models for NLP'],https://www.ijcai.org/proceedings/2022/609
49,Robust Fine-tuning via Perturbation and Interpolation from In-batch Instances,Main,['Text Classification'],https://www.ijcai.org/proceedings/2022/610
50,MGAD: Learning Descriptional Representation Distilled from Distributional Semantics for Unseen Entities,Main,"['Named Entities', 'Information Retrieval and Text Mining', 'Coreference Resolution', 'Embeddings', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2022/611
51,Unsupervised Context Aware Sentence Representation Pretraining for Multi-lingual Dense Retrieval,Main,"['Information Retrieval and Text Mining', 'Embeddings', 'Machine Translation and Multilinguality']",https://www.ijcai.org/proceedings/2022/612
52,Propose-and-Refine: A Two-Stage Set Prediction Network for Nested Named Entity Recognition,Main,"['Named Entities', 'Information Extraction']",https://www.ijcai.org/proceedings/2022/613
53,Neural Subgraph Explorer: Reducing Noisy Information via Target-oriented Syntax Graph Pruning,Main,"['Text Classification', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2022/614
