,title,track,categories,url
0,A Feature-Enriched Neural Model for Joint Chinese Word Segmentation and Part-of-Speech Tagging,Main,"['Tagging, chunking, syntax, and parsing', 'NLP Applications and Tools', 'Phonology, Morphology, and word segmentation']",https://www.ijcai.org/proceedings/2017/553
1,Multimodal Storytelling via Generative Adversarial Imitation Learning,Main,['Natural Language Summarization'],https://www.ijcai.org/proceedings/2017/554
2,Joint Training for Pivot-based Neural Machine Translation,Main,"['Machine Translation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2017/555
3,Solving Probability Problems in Natural Language,Main,['Question Answering'],https://www.ijcai.org/proceedings/2017/556
4,Stance Classification with Target-specific Neural Attention,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2017/557
5,An Attention-based Regression Model for Grounding Textual Phrases in Images,Main,"['Information Retrieval', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2017/558
6,Effective Deep Memory Networks for Distant Supervised Relation Extraction,Main,['Information Extraction'],https://www.ijcai.org/proceedings/2017/559
7,Understanding and Exploiting Language Diversity,Main,"['Resources and Evaluation', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2017/560
8,Learning to Explain Entity Relationships by Pairwise Ranking with Convolutional Neural Networks,Main,"['Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2017/561
9,SWIM: A Simple Word Interaction Model for Implicit Discourse Relation Recognition,Main,"['Discourse', 'Natural Language Processing', 'Natural Language Semantics', 'Text Classification']",https://www.ijcai.org/proceedings/2017/562
10,MAT: A Multimodal Attentive Translator for Image Captioning,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2017/563
11,How Unlabeled Web Videos Help Complex Event Detection?,Main,['Information Retrieval'],https://www.ijcai.org/proceedings/2017/564
12,A Structural Representation Learning for Multi-relational Networks,Main,"['Information Extraction', 'Information Retrieval']",https://www.ijcai.org/proceedings/2017/565
13,Dynamic Compositional Neural Networks over Tree Structure,Main,"['Natural Language Semantics', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2017/566
14,Adaptive Semantic Compositionality for Sentence Modelling,Main,"['Natural Language Processing', 'Natural Language Semantics']",https://www.ijcai.org/proceedings/2017/567
15,Interactive Attention Networks for Aspect-Level Sentiment Classification,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2017/568
16,Inverted Bilingual Topic Models for Lexicon Extraction from Non-parallel Data,Main,['Information Extraction'],https://www.ijcai.org/proceedings/2017/569
17,Why Can't You Convince Me? Modeling Weaknesses in Unpersuasive Arguments,Main,"['Natural Language Processing', 'Text Classification']",https://www.ijcai.org/proceedings/2017/570
18,Parsing Natural Language Conversations using Contextual Cues,Main,"['Tagging, chunking, syntax, and parsing', 'Natural Language Semantics', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2017/571
19,Automatic Assessment of Absolute Sentence Complexity,Main,"['Resources and Evaluation', 'Text Classification']",https://www.ijcai.org/proceedings/2017/572
20,Finding Prototypes of Answers for Improving Answer Sentence Selection,Main,"['Natural Language Processing', 'Question Answering']",https://www.ijcai.org/proceedings/2017/573
21,From Neural Sentence Summarization to Headline Generation: A Coarse-to-Fine Approach,Main,"['Natural Language Generation', 'Natural Language Summarization', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2017/574
22,Multi-Modal Word Synset Induction,Main,"['Natural Language Semantics', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2017/575
23,Conditional Generative Adversarial Networks for Commonsense Machine Comprehension,Main,"['Information Extraction', 'Question Answering']",https://www.ijcai.org/proceedings/2017/576
24,Joint Learning on Relevant User Attributes in Micro-blog,Main,"['Natural Language Processing', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2017/577
