,title,track,categories,url
43,Knowledge Base Question Answering with Topic Units,Main,"['Natural Language Processing', 'Question Answering']",https://www.ijcai.org/proceedings/2019/701
44,Adversarial Transfer for  Named Entity Boundary Detection with Pointer Networks,Main,"['Natural Language Processing', 'Named Entities']",https://www.ijcai.org/proceedings/2019/702
45,Towards Discriminative Representation Learning for Speech Emotion Recognition,Main,"['Speech', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/703
46,Self-attentive Biaffine Dependency Parsing,Main,"['Natural Language Processing', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/704
47,Reading selectively via Binary Input Gated Recurrent Unit,Main,['Text Classification'],https://www.ijcai.org/proceedings/2019/705
48,Learning to Select Knowledge for Response Generation in Dialog Systems,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/706
49,Deep Mask Memory Network with Semantic Dependency and Context Moment for Aspect Level Sentiment Classification,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/707
50,Exploring and Distilling Cross-Modal Information for Image Captioning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/708
51,Network Embedding with Dual Generation Tasks,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/709
52,Building Personalized Simulator for Interactive Search,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/710
53,A Dual Reinforcement Learning Framework for Unsupervised Text Style Transfer,Main,['Natural Language Generation'],https://www.ijcai.org/proceedings/2019/711
54,Unsupervised Neural Aspect Extraction with Sememes,Main,"['Sentiment Analysis and Text Mining', 'Natural Language Semantics', 'Information Extraction']",https://www.ijcai.org/proceedings/2019/712
55,Randomized Greedy Search for Structured Prediction: Amortized Inference and Learning,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/713
56,Aspect-Based Sentiment Classification with Attentive Neural Turing Machines,Main,"['Natural Language Semantics', 'Sentiment Analysis and Text Mining']",https://www.ijcai.org/proceedings/2019/714
57,Learning Task-Specific Representation for Novel Words in Sequence Labeling,Main,"['Tagging, chunking, and parsing', 'Named Entities', 'Embeddings']",https://www.ijcai.org/proceedings/2019/715
58,Improving Cross-Domain Performance for Relation Extraction via Dependency Prediction and Information Flow Control,Main,['Information Extraction'],https://www.ijcai.org/proceedings/2019/716
59,Learn to Select via Hierarchical Gate Mechanism for Aspect-Based Sentiment Analysis,Main,"['Natural Language Processing', 'Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/717
60,Aligning Learning Outcomes to Learning Resources: A Lexico-Semantic Spatial Approach,Main,"['NLP Applications and Tools', 'Text Classification']",https://www.ijcai.org/proceedings/2019/718
61,A Deep Generative Model for Code Switched Text,Main,"['Natural Language Generation', 'Tagging, chunking, and parsing']",https://www.ijcai.org/proceedings/2019/719
62,Knowledge Aware Semantic Concept Expansion for Image-Text Matching,Main,['Information Retrieval'],https://www.ijcai.org/proceedings/2019/720
63,Exploiting Persona Information for Diverse Generation of Conversational Responses,Main,"['Dialogue', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/721
64,Cold-Start Aware Deep Memory Network for Multi-Entity Aspect-Based Sentiment Analysis,Main,"['Sentiment Analysis and Text Mining', 'Text Classification']",https://www.ijcai.org/proceedings/2019/722
65,GANs for Semi-Supervised Opinion Spam Detection,Main,['Text Classification'],https://www.ijcai.org/proceedings/2019/723
66,PRoFET: Predicting the Risk of Firms from Event Transcripts,Main,['Natural Language Processing'],https://www.ijcai.org/proceedings/2019/724
67,Unsupervised Embedding Enhancements of Knowledge Graphs using Textual Associations,Main,"['Knowledge Extraction', 'Embeddings']",https://www.ijcai.org/proceedings/2019/725
68,Swell-and-Shrink: Decomposing Image Captioning by Transformation and Summarization,Main,['Natural Language Summarization'],https://www.ijcai.org/proceedings/2019/726
69,T-CVAE: Transformer-Based Conditioned Variational Autoencoder for Story Completion,Main,"['Natural Language Generation', 'Natural Language Processing']",https://www.ijcai.org/proceedings/2019/727
70,Robust Embedding with Multi-Level Structures for Link Prediction,Main,"['Natural Language Processing', 'Embeddings']",https://www.ijcai.org/proceedings/2019/728
71,Revealing Semantic Structures of Texts: Multi-grained Framework for Automatic Mind-map Generation,Main,"['Information Retrieval', 'Natural Language Summarization', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/729
72,Correct-and-Memorize: Learning to Translate from Interactive Revisions,Main,"['Machine Translation', 'Natural Language Generation']",https://www.ijcai.org/proceedings/2019/730
73,Modeling Noisy Hierarchical Types in Fine-Grained Entity Typing: A Content-Based Weighting Approach,Main,"['Information Extraction', 'NLP Applications and Tools']",https://www.ijcai.org/proceedings/2019/731
